Rank,Company,Industry,Revenue(US$ billions),Headquarters
1,Sonatrach,Oil and gas,77.01,Algeria
2,Eskom,Electric utility,13.94,South Africa
3,Sasol,Chemistry,12.99,South Africa
4,MTN Group,Telecommunications,12.24,South Africa
5,Shoprite Holdings,Retail,10.80,South Africa
6,Nigeria National Petroleum,Oil and gas,9.71,Nigeria
7,Steinhoff International,Holding,9.70,South Africa
8,Anglo American Platinum,Mining,9.40,South Africa
9,Sibanye Gold,Mining,8.69,South Africa
10,Spar Group,Retail,8.48,South Africa
11,Bidcorp,Agroindustry,8.23,South Africa
12,Vodacom Group,Telecommunications,6.71,South Africa
13,Pick n Pay Stores,Retail,6.35,South Africa
14,Nigeria Liquefied Natural Gas,Oil and gas,6.32,Nigeria
15,OCP Group,Mining,6.24,Morocco
16,Naspers,Holding,5.93,South Africa
17,Massmart,Retail,5.92,South Africa
18,Suez Canal Authority,Transport,5.60,Egypt
19,Kumba Iron Ore,Mining,5.47,South Africa
20,Sonangol Group,Oil and gas,5.33,Angola
21,Vodacom South Africa,Telecommunications,5.24,South Africa
22,Bidvest Group,Holding,5.23,South Africa
23,Motus,Automotive,5.01,South Africa
24,Woolworths South Africa,Retail,4.93,South Africa
25,Impala Platinum,Mining,4.77,South Africa
26,Sappi,Pulp and paper,4.61,South Africa
27,Transnet,Transport,4.59,South Africa
28,Engen Petroleum,Oil and gas,4.56,South Africa
29,AngloGold Ashanti,Mining,4.43,South Africa
30,Pepkor,Holding,4.30,South Africa
31,Datatec,Information technology,4.11,South Africa
32,Office national d'électricité,Electric utility,4.09,Morocco
33,Groupe Maroc Telecom,Telecommunications,4.08,Morocco
34,Mediclinic International,Healthcare,4.07,South Africa
35,Gold Fields,Mining,3.98,South Africa
36,Remgro,Holding,3.73,South Africa
37,MultiChoice,Telecommunications,3.69,South Africa
38,MTN Nigeria,Telecommunications,3.51,Nigeria
39,Barloworld Limited,Conglomerate,3.39,South Africa
40,Orascom Construction,Construction,3.37,Egypt
41,Naftal,Oil and gas,3.28,Algeria
42,Massmart Wholesale,Wholesale,3.25,South Africa
43,Imperial Logistics,Conglomerate,3.17,South Africa
44,Ethiopian Airlines,Airline,6.12,Ethiopia
45,MTN South Africa,Telecommunications,3.10,South Africa
46,Telkom,Telecommunications,2.95,South Africa
47,Elsewedy Electric,Energy,2.94,Egypt
48,Wilson Bayly Holmes-Ovcon,Construction,2.94,South Africa
49,Afriquia,Oil and gas,2.83,Morocco
50,Dangote Cement,Cement,2.70,Nigeria
51,Transnet Freight Rail,Transport,2.69,South Africa
52,Nigerian Petroleum Development,Oil and gas,2.69,Nigeria
53,Massmart Retail,Retail,2.65,South Africa
54,Aspen Pharmacare,Pharmaceuticals,2.64,South Africa
55,Clicks Group,Retail,2.46,South Africa
56,Ezz Steel,Steel,2.45,Egypt
57,Middle East Oil Refineries,Oil and gas,2.43,Egypt
58,Foschini Group,Retail,2.43,South Africa
59,Safaricom,Telecommunications,2.40,Kenya
60,Super Group,Transport,2.36,South Africa
61,Qalaa Holdings,Finance,2.28,Egypt
62,Sonatel,Telecommunications,2.26,Senegal
63,Maroc Telecom,Telecommunications,2.25,Morocco
64,RCL Foods,Agroindustry,2.16,South Africa
65,Al-Ezz Dekheila Steel Co.,Steel,2.15,Egypt
66,Etisalat Marocco,Telecommunications,2.02,Morocco
67,Tiger Brands,Agroindustry,2.03,South Africa
68,Telecom Egypt,Telecommunications,2.02,Egypt
69,Egyptair,Transport,2.02,Egypt
70,Flour Mills of Nigeria,Agroindustry,2.01,Nigeria
71,Harmony Gold,Mining,2.00,South Africa
72,Exxaro,Mining,1.97,South Africa
73,Tunisian Company of Electricity and Gas,Electric utility,1.95,Tunisia
74,Vodafone Egypt,Telecommunications,1.89,Egypt
75,Dangote Cement Nigeria,Cement,1.88,Nigeria
76,Petroleum Projects and Consulting,Oil and gas,1.84,Egypt
77,Marikana,Mining,1.83,South Africa
78,Dis-Chem,Healthcare,1.79,South Africa
79,Life Healthcare Group,Healthcare,1.73,South Africa
80,Société tunisienne des industries de raffinage,Oil and gas,1.68,Tunisia
81,ArcelorMittal South Africa,Steel,1.68,South Africa
82,Hassan Allam Holding,Construction,1.67,Egypt
83,AECI,Chemicals,1.65,South Africa
84,Arab Contractors,Construction,1.62,Egypt
85,Egyptair Airlines,Airline,1.60,Egypt
86,Société Ivoirienne de Raffinage,Oil and gas,1.59,Ivory Coast
87,Pioneer Foods,Agroindustry,1.58,South Africa
88,Mr Price Group,Retail,1.56,South Africa
89,Kansanshi Mining,Mining,1.54,Zambia
90,Distell Group Limited,Agroindustry,1.53,South Africa
91,Gold Fields Ghana,Mining,1.52,Ghana
92,Cevital,Agroindustry,1.51,Algeria
93,Airtel Nigeria,Telecommunications,1.50,Nigeria
94,Ghabbour Auto,Automotive,1.48,Egypt
95,Kap Industrial Holding,Holding,1.47,South Africa
96,Blue Label Telecoms,Telecommunications,1.44,South Africa
97,Kibali Gold Mine,Mining,1.44,DR Congo
98,Aveng,Conglomerate,1.43,South Africa
99,Murray and Roberts Holdings,Construction,1.42,South Africa
100,Rustenburg,Mining,1.24,South Africa
